NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
852;852;536;RECETTES;CAC;01/01/2011;31/12/2011;18 972 849,000000;18 972 849,000000;
597;597;320;RECETTES;CAC;01/01/2011;31/12/2011;33 840 211,000000;33 840 211,000000;
853;853;537;RECETTES;CAC;01/01/2012;30/06/2012;17 293 464,000000;17 293 464,000000;
598;598;321;RECETTES;CAC;01/01/2012;30/06/2012;24 901 770,000000;24 901 770,000000;
854;854;538;RECETTES;CAC;01/01/2007;31/12/2007;9 633 697,000000;9 633 697,000000;
599;599;322;RECETTES;CAC;01/01/2007;31/12/2007;67 827 014,000000;67 827 014,000000;
855;855;539;RECETTES;CAC;01/01/2008;31/12/2008;7 295 740,000000;7 295 740,000000;
600;600;323;RECETTES;CAC;01/01/2008;31/12/2008;51 366 388,000000;51 366 388,000000;
856;856;540;RECETTES;CAC;01/01/2009;31/12/2009;7 928 963,000000;7 928 963,000000;
601;601;324;RECETTES;CAC;01/01/2009;31/12/2009;55 824 654,000000;55 824 654,000000;
857;857;541;RECETTES;CAC;01/01/2010;31/12/2010;14 544 835,000000;14 544 835,000000;
602;602;325;RECETTES;CAC;01/01/2010;31/12/2010;102 404 365,000000;102 404 365,000000;
858;858;542;RECETTES;CAC;01/01/2010;31/12/2010;30 050 362,000000;30 050 362,000000;
91;91;59;RECETTES;CAC;;;40 000 000,000000;40 000 000,000000;
603;603;326;RECETTES;CAC;01/01/2011;31/12/2011;92 633 367,000000;92 633 367,000000;
859;859;543;RECETTES;CAC;01/01/2012;30/06/2012;22 962 332,000000;22 962 332,000000;
604;604;327;RECETTES;CAC;01/01/2012;30/06/2012;54 988 912,000000;54 988 912,000000;
860;860;544;RECETTES;CAC;01/01/2007;31/12/2007;36 191 877,000000;36 191 877,000000;
605;605;328;RECETTES;CAC;01/01/2007;31/12/2007;156 836 350,000000;156 836 350,000000;
861;861;545;RECETTES;CAC;01/01/2008;31/12/2008;27 408 637,000000;27 408 637,000000;
350;350;104;RECETTES;CAC;01/01/2011;31/12/2011;46 400 000,000000;57 466 176,000000;
606;606;329;RECETTES;CAC;01/01/2008;31/12/2008;79 694 433,000000;79 694 433,000000;
862;862;546;RECETTES;CAC;01/01/2009;31/12/2009;29 787 527,000000;29 787 527,000000;
607;607;330;RECETTES;CAC;01/01/2009;31/12/2009;83 385 165,000000;83 385 165,000000;
863;863;547;RECETTES;CAC;01/01/2010;31/12/2010;54 642 037,000000;54 642 037,000000;
608;608;331;RECETTES;CAC;01/01/2010;31/12/2010;147 412 025,000000;147 412 025,000000;
864;864;548;RECETTES;CAC;01/01/2011;31/12/2011;49 061 086,000000;49 061 086,000000;
609;609;332;RECETTES;CAC;01/01/2011;31/12/2011;120 650 069,000000;120 650 069,000000;
865;865;549;RECETTES;CAC;01/01/2012;31/12/2012;32 690 987,000000;32 690 987,000000;
610;610;333;RECETTES;CAC;01/01/2012;30/06/2012;65 426 635,000000;65 426 635,000000;
866;866;550;RECETTES;CAC;01/01/2007;31/12/2007;19 267 397,000000;19 267 397,000000;
611;611;334;RECETTES;CAC;01/01/2007;31/12/2007;105 132 545,000000;105 132 545,000000;
867;867;551;RECETTES;CAC;01/01/2008;31/12/2008;14 591 481,000000;14 591 481,000000;
612;612;335;RECETTES;CAC;01/01/2008;31/12/2008;79 618 411,000000;79 618 411,000000;
868;868;552;RECETTES;CAC;01/01/2009;31/12/2009;15 857 925,000000;15 857 925,000000;
613;613;336;RECETTES;CAC;01/01/2009;31/12/2009;86 528 769,000000;86 528 769,000000;
869;869;553;RECETTES;CAC;01/01/2010;31/12/2010;29 089 670,000000;29 089 670,000000;
614;614;337;RECETTES;CAC;01/01/2010;31/12/2010;158 727 784,000000;158 727 784,000000;
870;870;554;RECETTES;CAC;01/01/2011;31/12/2011;31 438 069,000000;31 438 069,000000;
615;615;338;RECETTES;CAC;01/01/2011;31/12/2011;128 393 202,000000;128 393 202,000000;
871;871;555;RECETTES;CAC;01/01/2012;30/06/2012;23 672 486,000000;23 672 486,000000;
616;616;339;RECETTES;CAC;01/01/2012;30/06/2012;73 288 851,000000;73 288 851,000000;
872;872;556;RECETTES;CAC;01/01/2007;31/12/2007;46 434 423,000000;46 434 423,000000;
617;617;340;RECETTES;CAC;01/01/2007;31/12/2007;96 682 219,000000;96 682 219,000000;
873;873;557;RECETTES;CAC;01/01/2008;31/12/2008;35 165 468,000000;35 165 468,000000;
618;618;341;RECETTES;CAC;01/01/2008;31/12/2008;56 368 347,000000;56 368 347,000000;
874;874;558;RECETTES;CAC;01/01/2009;31/12/2009;38 217 600,000000;38 217 600,000000;
619;619;342;RECETTES;CAC;01/01/2009;31/12/2009;61 260 752,000000;61 260 752,000000;
875;875;559;RECETTES;CAC;01/01/2010;31/12/2010;70 106 105,000000;70 106 105,000000;
620;620;343;RECETTES;CAC;01/01/2010;31/12/2010;112 376 304,000000;112 376 304,000000;
876;876;560;RECETTES;CAC;01/01/2011;31/12/2011;62 571 478,000000;62 571 478,000000;
621;621;62;RECETTES;CAC;01/01/2011;31/12/2011;133 414 861,000000;133 414 861,000000;
877;877;561;RECETTES;CAC;01/01/2012;31/12/2012;39 604 872,000000;39 604 872,000000;
366;366;105;RECETTES;CAC;01/01/2012;31/12/2012;121 720 747,000000;98 860 000,000000;
622;622;63;RECETTES;CAC;01/01/2012;30/06/2012;75 858 664,000000;75 858 664,000000;
878;878;562;RECETTES;CAC;01/01/2007;31/12/2007;55 875 449,000000;55 875 449,000000;
623;623;345;RECETTES;CAC;01/01/2007;31/12/2007;75 142 845,000000;75 142 845,000000;
879;879;563;RECETTES;CAC;01/01/2008;31/12/2008;42 315 292,000000;42 315 292,000000;
624;624;346;RECETTES;CAC;01/01/2008;31/12/2008;56 906 773,000000;56 906 773,000000;
880;880;564;RECETTES;CAC;01/01/2009;31/12/2009;45 987 983,000000;45 987 983,000000;
625;625;347;RECETTES;CAC;01/01/2009;31/12/2009;61 845 909,000000;61 845 909,000000;
881;881;565;RECETTES;CAC;01/01/2010;31/12/2010;84 360 044,000000;84 360 044,000000;
114;114;60;RECETTES;CAC;;;50 000 000,000000;50 000 000,000000;
626;626;348;RECETTES;CAC;01/01/2010;31/12/2010;113 449 714,000000;113 449 714,000000;
882;882;566;RECETTES;CAC;01/01/2011;31/12/2011;75 510 980,000000;75 510 980,000000;
627;627;349;RECETTES;CAC;01/01/2011;31/12/2011;99 868 333,000000;99 868 333,000000;
883;883;567;RECETTES;CAC;01/01/2012;30/06/2012;46 226 605,000000;46 226 605,000000;
628;628;350;RECETTES;CAC;01/01/2012;30/06/2012;58 691 374,000000;58 691 374,000000;
884;884;568;RECETTES;CAC;01/01/2007;31/12/2007;19 945 609,000000;19 945 609,000000;
629;629;351;RECETTES;CAC;01/01/2007;31/12/2007;19 267 397,000000;19 267 397,000000;
885;885;569;RECETTES;CAC;01/01/2008;31/12/2008;15 105 100,000000;15 105 100,000000;
630;630;352;RECETTES;CAC;01/01/2008;31/12/2008;14 591 481,000000;14 591 481,000000;
886;886;570;RECETTES;CAC;01/01/2009;31/12/2009;16 416 124,000000;16 416 124,000000;
631;631;353;RECETTES;CAC;01/01/2009;31/12/2009;15 857 925,000000;15 857 925,000000;
887;887;571;RECETTES;CAC;01/01/2010;31/12/2010;30 113 626,000000;30 113 626,000000;
632;632;354;RECETTES;CAC;01/01/2010;31/12/2010;29 089 670,000000;29 089 670,000000;
888;888;572;RECETTES;CAC;01/01/2011;31/12/2011;36 815 439,000000;36 815 439,000000;
633;633;355;RECETTES;CAC;01/01/2011;31/12/2011;36 756 155,000000;36 756 155,000000;
889;889;573;RECETTES;CAC;01/01/2012;31/12/2012;26 242 330,000000;26 242 330,000000;
634;634;356;RECETTES;CAC;01/01/2012;30/06/2012;26 393 991,000000;26 393 991,000000;
890;890;574;RECETTES;CAC;01/01/2007;31/12/2007;32 754 574,000000;32 754 574,000000;
635;635;357;RECETTES;CAC;01/01/2007;31/12/2007;20 024 429,000000;20 024 429,000000;
891;891;575;RECETTES;CAC;01/01/2008;31/12/2008;24 805 518,000000;24 805 518,000000;
636;636;358;RECETTES;CAC;01/01/2008;31/12/2008;23 590 047,000000;23 590 047,000000;
892;892;576;RECETTES;CAC;01/01/2009;31/12/2009;26 958 473,000000;26 958 473,000000;
637;637;359;RECETTES;CAC;01/01/2009;31/12/2009;25 637 508,000000;25 637 508,000000;
893;893;577;RECETTES;CAC;01/01/2010;31/12/2010;49 452 439,000000;49 452 439,000000;
382;382;106;RECETTES;CAC;01/01/2013;31/12/2013;121 442 656,000000;63 793 155,000000;
638;638;360;RECETTES;CAC;01/01/2010;31/12/2010;47 029 270,000000;47 029 270,000000;
894;894;578;RECETTES;CAC;01/01/2011;31/12/2011;42 583 651,000000;42 583 651,000000;
639;639;361;RECETTES;CAC;01/01/2011;31/12/2011;30 243 586,000000;30 243 586,000000;
895;895;579;RECETTES;CAC;01/01/2012;30/06/2012;29 376 187,000000;29 376 187,000000;
640;640;362;RECETTES;CAC;01/01/2012;30/06/2012;23 061 214,000000;23 061 214,000000;
896;896;580;RECETTES;CAC;01/01/2007;31/12/2007;19 267 397,000000;19 267 397,000000;
641;641;363;RECETTES;CAC;01/01/2007;31/12/2007;20 024 429,000000;20 024 429,000000;
897;897;581;RECETTES;CAC;01/01/2008;31/12/2008;17 591 481,000000;17 591 481,000000;
642;642;364;RECETTES;CAC;01/01/2008;31/12/2008;23 590 047,000000;23 590 047,000000;
898;898;582;RECETTES;CAC;01/01/2009;31/12/2009;15 857 925,000000;15 857 925,000000;
643;643;365;RECETTES;CAC;01/01/2009;31/12/2009;25 637 508,000000;25 637 508,000000;
899;899;583;RECETTES;CAC;01/01/2010;31/12/2010;29 089 670,000000;29 089 670,000000;
644;644;366;RECETTES;CAC;01/01/2010;31/12/2010;47 029 270,000000;47 029 270,000000;
900;900;584;RECETTES;CAC;01/01/2011;31/12/2011;31 600 555,000000;31 600 555,000000;
645;645;367;RECETTES;CAC;01/01/2011;31/12/2011;30 623 451,000000;30 623 451,000000;
901;901;585;RECETTES;CAC;01/01/2012;30/06/2012;23 755 636,000000;23 755 636,000000;
646;646;368;RECETTES;CAC;01/01/2012;30/06/2012;23 255 607,000000;23 255 607,000000;
902;902;586;RECETTES;CAC;01/01/2007;31/12/2007;8 670 328,000000;8 670 328,000000;
647;647;369;RECETTES;CAC;01/01/2007;31/12/2007;54 960 248,000000;54 960 248,000000;
903;903;587;RECETTES;CAC;01/01/2008;31/12/2008;6 566 166,000000;6 566 166,000000;
648;648;370;RECETTES;CAC;01/01/2008;31/12/2008;41 622 197,000000;41 622 197,000000;
904;904;588;RECETTES;CAC;01/01/2009;31/12/2009;7 136 067,000000;7 136 067,000000;
649;649;371;RECETTES;CAC;01/01/2009;31/12/2009;45 234 732,000000;45 234 732,000000;
905;905;589;RECETTES;CAC;01/01/2010;31/12/2010;13 090 352,000000;13 090 352,000000;
138;138;61;RECETTES;CAC;;;45 000 000,000000;45 000 000,000000;
650;650;372;RECETTES;CAC;01/01/2010;31/12/2010;82 978 284,000000;82 978 284,000000;
906;906;590;RECETTES;CAC;01/01/2011;31/12/2011;21 825 117,000000;21 825 117,000000;
651;651;373;RECETTES;CAC;01/01/2011;31/12/2011;47 908 322,000000;47 908 322,000000;
907;907;591;RECETTES;CAC;01/01/2012;30/06/2012;18 753 099,000000;18 753 099,000000;
396;396;118;RECETTES;CAC;01/01/2007;31/12/2007;59 052 643,000000;59 052 643,000000;
652;652;374;RECETTES;CAC;01/01/2012;30/06/2012;32 101 065,000000;32 101 065,000000;
908;908;592;RECETTES;CAC;01/01/2007;31/12/2007;100 190 459,000000;100 190 459,000000;
397;397;119;RECETTES;CAC;01/01/2008;31/12/2008;44 721 428,000000;44 721 428,000000;
653;653;375;RECETTES;CAC;01/01/2007;31/12/2007;26 974 355,000000;26 974 355,000000;
909;909;593;RECETTES;CAC;01/01/2008;31/12/2008;75 875 697,000000;75 875 697,000000;
398;398;120;RECETTES;CAC;01/01/2009;31/12/2009;48 602 956,000000;48 602 956,000000;
654;654;376;RECETTES;CAC;01/01/2008;31/12/2008;20 428 073,000000;20 428 073,000000;
910;910;594;RECETTES;CAC;01/01/2009;31/12/2009;82 461 212,000000;82 461 212,000000;
399;399;121;RECETTES;CAC;01/01/2010;31/12/2010;89 156 930,000000;89 156 930,000000;
655;655;377;RECETTES;CAC;01/01/2009;31/12/2009;22 201 095,000000;22 201 095,000000;
911;911;595;RECETTES;CAC;01/01/2010;31/12/2010;151 266 284,000000;151 266 284,000000;
400;400;122;RECETTES;CAC;01/01/2011;31/12/2011;112 981 680,000000;112 981 680,000000;
656;656;378;RECETTES;CAC;01/01/2010;31/12/2010;40 725 538,000000;40 725 538,000000;
912;912;596;RECETTES;CAC;01/01/2011;31/12/2011;115 969 700,000000;115 969 700,000000;
401;401;123;RECETTES;CAC;01/01/2012;30/06/2012;72 893 323,000000;72 893 323,000000;
657;657;379;RECETTES;CAC;01/01/2011;31/12/2011;49 880 097,000000;49 880 097,000000;
913;913;597;RECETTES;CAC;01/01/2012;30/06/2012;66 931 177,000000;66 931 177,000000;
402;402;124;RECETTES;CAC;01/01/2007;31/12/2007;25 432 962,000000;25 432 962,000000;
658;658;380;RECETTES;CAC;01/01/2012;30/06/2012;33 110 114,000000;33 110 114,000000;
914;914;598;RECETTES;CAC;01/01/2007;31/12/2007;38 534 792,000000;38 534 792,000000;
403;403;125;RECETTES;CAC;01/01/2008;31/12/2008;19 260 754,000000;19 260 754,000000;
659;659;381;RECETTES;CAC;01/01/2007;31/12/2007;17 340 655,000000;17 340 655,000000;
915;915;599;RECETTES;CAC;01/01/2008;31/12/2008;29 182 960,000000;29 182 960,000000;
404;404;126;RECETTES;CAC;01/01/2009;31/12/2009;20 932 461,000000;20 932 461,000000;
660;660;382;RECETTES;CAC;01/01/2008;31/12/2008;13 132 333,000000;13 132 333,000000;
916;916;600;RECETTES;CAC;01/01/2009;31/12/2009;31 715 851,000000;31 715 851,000000;
405;405;127;RECETTES;CAC;01/01/2010;31/12/2010;38 398 364,000000;38 398 364,000000;
661;661;383;RECETTES;CAC;01/01/2009;31/12/2009;14 272 133,000000;14 272 133,000000;
917;917;601;RECETTES;CAC;01/01/2010;31/12/2010;58 179 340,000000;58 179 340,000000;
406;406;91;RECETTES;CAC;01/01/2011;31/12/2011;68 054 243,000000;68 054 243,000000;
662;662;384;RECETTES;CAC;01/01/2010;31/12/2010;26 180 702,000000;26 180 702,000000;
918;918;602;RECETTES;CAC;01/01/2011;31/12/2011;61 818 341,000000;61 818 341,000000;
407;407;129;RECETTES;CAC;01/01/2012;31/12/2012;42 410 653,000000;42 410 653,000000;
663;663;385;RECETTES;CAC;01/01/2011;31/12/2011;22 145 696,000000;22 145 696,000000;
919;919;603;RECETTES;CAC;01/01/2012;30/06/2012;39 219 456,000000;39 219 456,000000;
408;408;130;RECETTES;CAC;01/01/2007;31/12/2007;89 714 776,000000;89 714 776,000000;
664;664;387;RECETTES;CAC;01/01/2012;30/06/2012;18 917 152,000000;18 917 152,000000;
920;920;604;RECETTES;CAC;01/01/2007;31/12/2007;32 754 574,000000;32 754 574,000000;
409;409;131;RECETTES;CAC;01/01/2008;31/12/2008;67 942 310,000000;67 942 310,000000;
665;665;388;RECETTES;CAC;01/01/2007;31/12/2007;53 948 708,000000;53 948 708,000000;
921;921;605;RECETTES;CAC;01/01/2008;31/12/2008;24 805 516,000000;24 805 516,000000;
410;410;132;RECETTES;CAC;01/01/2009;31/12/2009;73 839 257,000000;73 839 257,000000;
666;666;389;RECETTES;CAC;01/01/2008;31/12/2008;40 856 144,000000;40 856 144,000000;
411;411;133;RECETTES;CAC;01/01/2010;31/12/2010;135 450 231,000000;135 450 231,000000;
667;667;390;RECETTES;CAC;01/01/2009;31/12/2009;44 402 191,000000;44 402 191,000000;
923;923;607;RECETTES;CAC;01/01/2010;31/12/2010;49 452 439,000000;49 452 439,000000;
412;412;134;RECETTES;CAC;01/01/2011;31/12/2011;169 809 266,000000;169 809 266,000000;
668;668;391;RECETTES;CAC;01/01/2010;31/12/2010;81 451 076,000000;81 451 076,000000;
924;924;608;RECETTES;CAC;01/01/2011;31/12/2011;44 010 882,000000;44 010 882,000000;
413;413;135;RECETTES;CAC;01/01/2012;30/06/2012;94 483 341,000000;94 483 341,000000;
669;669;392;RECETTES;CAC;01/01/2011;31/12/2011;67 836 866,000000;67 836 866,000000;
925;925;609;RECETTES;CAC;01/01/2012;31/12/2012;30 106 566,000000;30 106 566,000000;
414;414;136;RECETTES;CAC;01/01/2007;31/12/2007;14 450 547,000000;14 450 547,000000;
670;670;393;RECETTES;CAC;01/01/2012;30/06/2012;42 299 410,000000;42 299 410,000000;
926;926;610;RECETTES;CAC;01/01/2007;31/12/2007;48 939 186,000000;48 939 186,000000;
415;415;137;RECETTES;CAC;01/01/2008;31/12/2008;10 943 610,000000;10 943 610,000000;
671;671;394;RECETTES;CAC;01/01/2007;31/12/2007;57 802 188,000000;57 802 188,000000;
927;927;611;RECETTES;CAC;01/01/2008;31/12/2008;37 062 359,000000;37 062 359,000000;
416;416;138;RECETTES;CAC;01/01/2009;31/12/2009;11 893 444,000000;11 893 444,000000;
672;672;395;RECETTES;CAC;01/01/2008;31/12/2008;43 774 441,000000;43 774 441,000000;
928;928;612;RECETTES;CAC;01/01/2009;31/12/2009;40 279 131,000000;40 279 131,000000;
417;417;139;RECETTES;CAC;01/01/2010;31/12/2010;21 817 252,000000;21 817 252,000000;
673;673;396;RECETTES;CAC;01/01/2009;31/12/2009;47 573 776,000000;47 573 776,000000;
929;929;613;RECETTES;CAC;01/01/2010;31/12/2010;73 887 763,000000;73 887 763,000000;
418;418;140;RECETTES;CAC;01/01/2011;31/12/2011;26 772 121,000000;26 772 121,000000;
674;674;397;RECETTES;CAC;01/01/2010;31/12/2010;87 269 010,000000;87 269 010,000000;
930;930;614;RECETTES;CAC;01/01/2011;31/12/2011;36 189 653,000000;36 189 653,000000;
419;419;141;RECETTES;CAC;01/01/2012;30/06/2012;21 284 706,000000;21 284 706,000000;
675;675;398;RECETTES;CAC;01/01/2011;31/12/2011;101 958 677,000000;101 958 677,000000;
931;931;615;RECETTES;CAC;01/01/2012;30/06/2012;26 104 088,000000;26 104 088,000000;
420;420;142;RECETTES;CAC;01/01/2007;31/12/2007;12 053 683,000000;12 053 683,000000;
676;676;399;RECETTES;CAC;01/01/2012;30/06/2012;59 761 098,000000;59 761 098,000000;
932;932;616;RECETTES;CAC;01/01/2007;31/12/2007;38 534 792,000000;38 534 792,000000;
421;421;143;RECETTES;CAC;01/01/2008;31/12/2008;9 128 430,000000;9 128 430,000000;
677;677;400;RECETTES;CAC;01/01/2007;31/12/2007;19 267 397,000000;19 267 397,000000;
933;933;617;RECETTES;CAC;01/01/2008;31/12/2008;29 182 960,000000;29 182 960,000000;
422;422;144;RECETTES;CAC;01/01/2009;31/12/2009;9 920 717,000000;9 920 717,000000;
678;678;401;RECETTES;CAC;01/01/2008;31/12/2008;14 591 481,000000;14 591 481,000000;
934;934;618;RECETTES;CAC;01/01/2009;31/12/2009;31 715 851,000000;31 715 851,000000;
423;423;145;RECETTES;CAC;01/01/2010;31/12/2010;18 198 498,000000;18 198 498,000000;
679;679;402;RECETTES;CAC;01/01/2009;31/12/2009;15 857 925,000000;15 857 925,000000;
935;935;619;RECETTES;CAC;01/01/2010;31/12/2010;58 179 340,000000;58 179 340,000000;
424;424;146;RECETTES;CAC;01/01/2011;31/12/2011;46 391 067,000000;46 391 067,000000;
680;680;403;RECETTES;CAC;01/01/2010;31/12/2010;29 089 670,000000;29 089 670,000000;
936;936;620;RECETTES;CAC;01/01/2011;31/12/2011;29 172 066,000000;29 172 066,000000;
425;425;147;RECETTES;CAC;01/01/2012;30/06/2012;31 324 615,000000;31 324 615,000000;
681;681;404;RECETTES;CAC;01/01/2011;31/12/2011;38 960 678,000000;38 960 678,000000;
937;937;621;RECETTES;CAC;01/01/2012;30/06/2012;22 512 867,000000;22 512 867,000000;
426;426;148;RECETTES;CAC;01/01/2007;31/12/2007;44 315 012,000000;44 315 012,000000;
682;682;405;RECETTES;CAC;01/01/2012;30/06/2012;27 522 148,000000;27 522 148,000000;
938;938;622;RECETTES;CAC;01/01/2007;31/12/2007;17 340 656,000000;17 340 656,000000;
427;427;149;RECETTES;CAC;01/01/2008;31/12/2008;33 560 405,000000;33 560 405,000000;
683;683;406;RECETTES;CAC;01/01/2007;31/12/2007;23 120 875,000000;23 120 875,000000;
939;939;623;RECETTES;CAC;01/01/2008;31/12/2008;13 132 333,000000;13 132 333,000000;
428;428;150;RECETTES;CAC;01/01/2009;31/12/2009;36 473 227,000000;36 473 227,000000;
684;684;407;RECETTES;CAC;01/01/2008;31/12/2008;17 509 777,000000;17 509 777,000000;
940;940;624;RECETTES;CAC;01/01/2009;31/12/2009;14 272 133,000000;14 272 133,000000;
429;429;151;RECETTES;CAC;01/01/2010;31/12/2010;66 906 240,000000;66 906 240,000000;
685;685;408;RECETTES;CAC;01/01/2009;31/12/2009;19 029 511,000000;19 029 511,000000;
941;941;625;RECETTES;CAC;01/01/2010;31/12/2010;26 180 703,000000;26 180 703,000000;
430;430;152;RECETTES;CAC;01/01/2011;31/12/2011;86 559 947,000000;86 559 947,000000;
686;686;409;RECETTES;CAC;01/01/2010;31/12/2010;34 907 605,000000;34 907 605,000000;
942;942;626;RECETTES;CAC;01/01/2011;31/12/2011;23 388 485,000000;23 388 485,000000;
431;431;153;RECETTES;CAC;01/01/2012;30/06/2012;51 880 865,000000;51 880 865,000000;
687;687;410;RECETTES;CAC;01/12/2011;31/12/2011;42 041 302,000000;42 041 302,000000;
943;943;627;RECETTES;CAC;01/01/2012;31/12/2012;19 553 146,000000;19 553 146,000000;
432;432;154;RECETTES;CAC;01/01/2007;31/12/2007;52 021 968,000000;52 021 968,000000;
688;688;411;RECETTES;CAC;01/01/2012;30/06/2012;29 098 643,000000;29 098 643,000000;
944;944;628;RECETTES;CAC;01/01/2007;31/12/2007;25 047 615,000000;25 047 615,000000;
433;433;155;RECETTES;CAC;01/01/2008;31/12/2008;39 396 996,000000;39 396 996,000000;
689;689;412;RECETTES;CAC;01/01/2007;31/12/2007;38 534 791,000000;38 534 791,000000;
945;945;629;RECETTES;CAC;01/01/2008;31/12/2008;18 968 926,000000;18 968 926,000000;
434;434;156;RECETTES;CAC;01/01/2009;31/12/2009;42 816 399,000000;42 816 399,000000;
690;690;413;RECETTES;CAC;01/01/2008;31/12/2008;29 182 960,000000;29 182 960,000000;
946;946;630;RECETTES;CAC;01/01/2009;31/12/2009;20 615 303,000000;20 615 303,000000;
435;435;157;RECETTES;CAC;01/01/2010;31/12/2010;78 542 108,000000;78 542 108,000000;
691;691;414;RECETTES;CAC;01/01/2009;31/12/2009;31 715 851,000000;31 715 851,000000;
947;947;631;RECETTES;CAC;01/01/2010;31/12/2010;37 816 570,000000;37 816 570,000000;
436;436;158;RECETTES;CAC;01/01/2011;31/12/2011;165 529 767,000000;165 529 767,000000;
692;692;415;RECETTES;CAC;01/01/2010;31/12/2010;58 179 340,000000;58 179 340,000000;
948;948;632;RECETTES;CAC;01/01/2011;31/12/2011;32 204 384,000000;32 204 384,000000;
437;437;159;RECETTES;CAC;01/01/2012;30/06/2012;92 293 326,000000;92 293 326,000000;
693;693;416;RECETTES;CAC;01/01/2011;31/12/2011;67 788 559,000000;67 788 559,000000;
949;949;633;RECETTES;CAC;01/01/2012;30/06/2012;24 064 643,000000;24 064 643,000000;
438;438;160;RECETTES;CAC;01/01/2007;31/12/2007;101 386 965,000000;101 386 965,000000;
694;694;417;RECETTES;CAC;01/01/2012;30/06/2012;42 274 690,000000;42 274 690,000000;
950;950;634;RECETTES;CAC;;01/01/2007;128 632 990,000000;128 632 990,000000;
439;439;161;RECETTES;CAC;01/01/2008;31/12/2008;76 781 828,000000;76 781 828,000000;
695;695;418;RECETTES;CAC;01/01/2007;31/12/2007;57 802 188,000000;57 802 188,000000;
951;951;635;RECETTES;CAC;01/01/2008;31/12/2008;215 087 243,000000;215 087 243,000000;
440;440;162;RECETTES;CAC;01/01/2009;31/12/2009;83 445 987,000000;83 445 987,000000;
696;696;419;RECETTES;CAC;01/01/2008;31/12/2008;43 774 441,000000;43 774 441,000000;
952;952;636;RECETTES;CAC;01/01/2009;31/12/2009;191 278 719,000000;191 278 719,000000;
441;441;163;RECETTES;CAC;01/01/2010;31/12/2010;153 072 753,000000;153 072 753,000000;
697;697;420;RECETTES;CAC;01/01/2009;31/12/2009;47 573 776,000000;47 573 776,000000;
953;953;637;RECETTES;CAC;01/01/2010;31/12/2010;316 058 042,000000;316 058 042,000000;
442;442;164;RECETTES;CAC;01/01/2011;31/12/2011;217 674 219,000000;217 674 219,000000;
698;698;421;RECETTES;CAC;01/01/2010;31/12/2010;87 269 010,000000;87 269 010,000000;
954;954;16;RECETTES;CAC;01/01/2011;31/12/2011;268 105 472,000000;268 105 472,000000;
443;443;165;RECETTES;CAC;01/01/2012;30/06/2012;118 978 022,000000;118 978 022,000000;
699;699;422;RECETTES;CAC;01/01/2011;31/12/2011;38 615 946,000000;38 615 946,000000;
955;955;639;RECETTES;CAC;01/01/2012;30/06/2012;120 314 380,000000;120 314 380,000000;
444;444;166;RECETTES;CAC;01/01/2007;31/12/2007;28 901 094,000000;28 901 094,000000;
700;700;423;RECETTES;CAC;01/01/2012;31/12/2012;27 345 733,000000;27 345 733,000000;
956;956;640;RECETTES;CAC;01/01/2007;31/12/2007;23 583 293,000000;23 583 293,000000;
445;445;167;RECETTES;CAC;01/01/2008;31/12/2008;21 887 220,000000;21 887 220,000000;
701;701;424;RECETTES;CAC;01/01/2007;31/12/2007;4 735 926,000000;4 735 926,000000;
957;957;641;RECETTES;CAC;01/01/2008;31/12/2008;17 859 973,000000;17 859 973,000000;
446;446;168;RECETTES;CAC;01/01/2010;31/12/2010;43 634 505,000000;43 634 505,000000;
702;702;425;RECETTES;CAC;01/01/2008;31/12/2008;3 586 586,000000;3 586 586,000000;
958;958;642;RECETTES;CAC;01/01/2009;31/12/2009;19 410 100,000000;19 410 100,000000;
447;447;169;RECETTES;CAC;01/01/2011;31/12/2011;62 158 680,000000;62 158 680,000000;
703;703;426;RECETTES;CAC;01/01/2009;31/12/2009;3 897 878,000000;3 897 878,000000;
959;959;643;RECETTES;CAC;01/01/2010;31/12/2010;35 605 757,000000;35 605 757,000000;
448;448;170;RECETTES;CAC;01/01/2012;30/06/2012;39 393 624,000000;39 393 624,000000;
704;704;427;RECETTES;CAC;01/01/2010;31/12/2010;7 150 242,000000;7 150 242,000000;
960;960;644;RECETTES;CAC;01/01/2011;31/12/2011;21 946 543,000000;21 946 543,000000;
449;449;171;RECETTES;CAC;01/01/2007;31/12/2007;73 794 127,000000;73 794 127,000000;
705;705;428;RECETTES;CAC;01/01/2011;31/12/2011;15 461 861,000000;15 461 861,000000;
961;961;645;RECETTES;CAC;01/01/2007;31/12/2007;38 534 792,000000;38 534 792,000000;
450;450;172;RECETTES;CAC;01/01/2008;31/12/2008;55 885 369,000000;55 885 369,000000;
706;706;429;RECETTES;CAC;01/01/2012;31/12/2012;15 496 729,000000;15 496 729,000000;
962;962;646;RECETTES;CAC;01/01/2008;31/12/2008;29 182 960,000000;29 182 960,000000;
451;451;173;RECETTES;CAC;01/01/2009;31/12/2009;60 735 853,000000;60 735 853,000000;
963;963;647;RECETTES;CAC;01/01/2009;31/12/2009;31 715 851,000000;31 715 851,000000;
196;196;75;RECETTES;CAC;01/01/2011;31/12/2011;85 579 037,000000;85 579 037,000000;
452;452;174;RECETTES;CAC;01/01/2010;31/12/2010;111 413 437,000000;111 413 437,000000;
