NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
160;160;61;DEPENSES;Avances    et    acomptes    sur commandes   de   materiel   en cours;;;3 000 000,000000;3 000 000,000000;
2;2;70;RECETTES;BIP;01/01/2013;31/12/2013;851 864 350,000000;851 864 350,000000;
6;6;69;RECETTES;BIP;01/01/2012;31/12/2012;637 850 000,000000;637 850 000,000000;
13;13;72;RECETTES;BIP;01/01/2015;31/12/2015;1 027 868 189,000000;1 027 868 189,000000;
16;16;71;RECETTES;BIP;01/01/2014;31/12/2014;997 930 281,000000;997 930 281,000000;
62;62;16;RECETTES;BIP;01/01/2011;31/12/2011;0,000000;109 000 000,000000;"50 000 000   CSI Fakele, 20 000 000   Marche de Mekomo ,
16 000 000   Salles de classes, 8 000 000   Forage de Nkolnyama,
15 000 000   CSI Urbain Ne 1  
Programmation des investissements "
334;334;91;FONCTIONNEMENT;Biens et services consommes ;01/01/2011;31/12/2011;30 913 301,000000;0,000000; Les biens et services consommees ainsi que les frais du personnel sont la principale prevision de fonctionnement.
99;99;59;DEPENSES;Biens et services consommes ;;;29 730 000,000000;29 730 000,000000;
120;120;60;DEPENSES;Biens et services consommes ;;;36 680 000,000000;36 680 000,000000;
145;145;61;DEPENSES;Biens et services consommes ;;;22 400 000,000000;22 400 000,000000;
731;731;129;FONCTIONNEMENT;Biens et services consommes ;01/01/2012;31/12/2012;30 913 301,000000;0,000000;
751;751;461;FONCTIONNEMENT;Biens et services consommes ;01/01/2013;31/12/2013;42 300 000,000000;0,000000;
3;3;70;RECETTES;Budget Communal;01/01/2013;31/12/2013;172 464 625,000000;172 464 625,000000;
8;8;69;RECETTES;Budget Communal;01/01/2012;31/12/2012;72 840 000,000000;72 840 000,000000;
14;14;72;RECETTES;Budget Communal;01/01/2015;31/12/2015;245 030 371,000000;245 030 371,000000;
17;17;71;RECETTES;Budget Communal;01/01/2014;31/12/2014;237 893 564,000000;237 893 564,000000;
58;58;14;RECETTES;Budget Communal;01/01/2014;31/12/2014;0,000000;270 000 000,000000;"Recouvrement
66% fonctionnement et 33 % d'investissement "
87;87;44;RECETTES;Budget Communal;01/01/2007;31/12/2007;70 000 000,000000;70 000 000,000000;
88;88;57;RECETTES;Budget Communal;01/01/2008;31/12/2008;72 000 000,000000;72 000 000,000000;
89;89;58;RECETTES;Budget Communal;01/01/2009;31/12/2009;98 000 000,000000;98 000 000,000000;
361;361;104;INVESTISSEMENT;Betiments;01/01/2011;31/12/2011;123 170 000,000000;44 301 067,000000;
377;377;105;INVESTISSEMENT;Betiments;01/01/2012;31/12/2012;118 871 047,000000;106 050 169,000000;
393;393;106;INVESTISSEMENT;Betiments;01/01/2013;31/12/2013;142 657 802,000000;9 270 000,000000;
512;512;234;RECETTES;CAC;01/01/2010;31/12/2010;24 718 107,000000;24 718 107,000000;
1024;1024;708;RECETTES;CAC;01/01/2010;31/12/2010;30 922 319,000000;30 922 319,000000;
513;513;235;RECETTES;CAC;01/01/2011;31/12/2011;22 699 243,000000;22 699 243,000000;
