N° Enr.;MInfrastructure;IDCadre;TInfrastructures;IDMInfrastructure;IDTInfrastructure
89;Porcherie;0931;RURALES;89;0
125;Poste;0545;INFRASTRUCTURES;125;0
231;Poste de controle forestier;0033;BATIMENTS ET EQUIPEMENTS COLLECTIFS;231;0
22;Postes agricoles;0930;RURALES;22;0
90;Postes forestiers;0931;RURALES;90;0
117;Postes téléphoniques;0000;EQUIPEMENTS;117;0
51;Poteaux installés;0832;INFRASTRUCTURES;51;0
91;Poulaillers / fermes avicoles;0931;RURALES;91;0
8;Préfecture;0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;8;0
189;Présence de pierre ou objets difficilement déplaçable sur des voies terrestres;0836;INFRASTRUCTURES;189;0
52;Prise d'eau (Captages, Châteaux, Barrages);0832;INFRASTRUCTURES;52;0
9;Prison;0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;9;0
143;Propharmacien;0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;143;0
53;Puits (ouverts, aménagés, bâche, réservoir, à motricité humaine, à énergie solaire, électriques);0832;INFRASTRUCTURES;53;0
92;Puits pastoraux;0931;RURALES;92;0
126;Pylône;0545;INFRASTRUCTURES;126;0
127;Radio;0545;INFRASTRUCTURES;127;0
190;Ravin sans garde-fou;0836;INFRASTRUCTURES;190;0
118;Relieuses;0000;EQUIPEMENTS;118;0
54;Réseau Camwater;0832;INFRASTRUCTURES;54;0
55;Réseau d'électrification;0832;INFRASTRUCTURES;55;0
56;Reseau ENEO;0832;INFRASTRUCTURES;56;0
128;Réseaux téléphoniques;0545;INFRASTRUCTURES;128;0
166;Réserves;0523;INFRASTRUCTURES;166;0
167;Réserves forestières;0523;INFRASTRUCTURES;167;0
191;Route glissante;0836;INFRASTRUCTURES;191;0
192;Routes inondées;0836;INFRASTRUCTURES;192;0
93;Salines;0931;RURALES;93;0
225;salle de gymnastique;0516;BATIMENTS ET EQUIPEMENTS COLLECTIFS;225;0
168;Salles de Cinéma;0523;INFRASTRUCTURES;168;0
169;Salles de fête;0523;INFRASTRUCTURES;169;0
235;SAR-SM;0735;BATIMENTS ET EQUIPEMENTS COLLECTIFS;235;0
119;Scanners;0000;EQUIPEMENTS;119;0
26;Secrétariat bureautique;0517;INFRASTRUCTURES;26;0
57;Sources aménagées;0832;INFRASTRUCTURES;57;0
58;Sources non aménagées;0832;INFRASTRUCTURES;58;0
10;Sous-préfecture;0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;10;0
223;Stade de football;0516;BATIMENTS ET EQUIPEMENTS COLLECTIFS;223;0
207;Stands;0921;INFRASTRUCTURES;207;0
239;Station de pesage;0836;INFRASTRUCTURES;239;0
59;Stations d'épuration des eaux;0832;INFRASTRUCTURES;59;0
60;Station-service;0832;INFRASTRUCTURES;60;0
144;Structure de formation du personnel médical;0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;144;0
129;Télé;0545;INFRASTRUCTURES;129;0
224;terrain de tennis;0516;BATIMENTS ET EQUIPEMENTS COLLECTIFS;224;0
34;Terrains;0837;INFRASTRUCTURES;34;0
61;Toilettes publiques (modernes, mobiles);0832;INFRASTRUCTURES;61;0
120;Traceurs;0000;EQUIPEMENTS;120;0
62;Transformateurs;0832;INFRASTRUCTURES;62;0
11;Tribunal;0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;11;0
12;Tribunes de fête;0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;12;0
193;Tunnel;0836;INFRASTRUCTURES;193;0
177;Véhicules de service (Pick-up, Camions…);0846;EQUIPEMENTS;177;0
27;Vendeur de matériel informatique;0517;INFRASTRUCTURES;27;0
194;Viaduc;0836;INFRASTRUCTURES;194;0
195;Virage dangereux;0836;INFRASTRUCTURES;195;0
130;WIFI;0545;INFRASTRUCTURES;130;0
196;Zone d’éboulement / glissement de terrain;0836;INFRASTRUCTURES;196;0
197;Zone de grand bosquet;0836;INFRASTRUCTURES;197;0
198;Zone de marécage;0836;INFRASTRUCTURES;198;0
199;Zone de pente;0836;INFRASTRUCTURES;199;0
200;zone de sable mouvant;0836;INFRASTRUCTURES;200;0
